domain,text,label
twistys.com,"emails: 0bd059071d7d95db_o@whoisprivacy.com; name: Whois Privacy; name_servers: NS1.P44.DYNECT.NET; org: Whois Privacy (enumDNS dba); address: BPM 333868, Rue Gabriel Lippman 34; city: Munsbach; country: LU; creation_date: 2001-06-25T00:00:00; dnssec: unsigned; domain_name: TWISTYS.COM; domain_name : twistys.com; emails : 0bd059071d7d95db_a@whoisprivacy.com; emails : 0bd059071d7d95db_t@whoisprivacy.com; expiration_date: 2021-06-25T00:00:00; expiration_date : 2021-06-24T00:00:00; name_servers : NS2.P44.DYNECT.NET; name_servers : NS3.P44.DYNECT.NET; name_servers : NS4.P44.DYNECT.NET; name_servers : SDNS3.ULTRADNS.BIZ; name_servers : SDNS3.ULTRADNS.COM; name_servers : SDNS3.ULTRADNS.NET; name_servers : SDNS3.ULTRADNS.ORG; name_servers : ns1.p44.dynect.net; name_servers : ns2.p44.dynect.net; name_servers : ns3.p44.dynect.net; name_servers : ns4.p44.dynect.net; name_servers : sdns3.ultradns.biz; name_servers : sdns3.ultradns.com; name_servers : sdns3.ultradns.net; name_servers : sdns3.ultradns.org; referral_url: http://www.EuroDNS.com; registrar: Eurodns S.A.; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientTransferProhibited; updated_date: 2016-12-16T00:00:00; updated_date : 2016-12-16T14:15:50; whois_server: whois.eurodns.com; zipcode: 5365",safe
pillsbury.com,"emails: domainabuse@cscglobal.com; name: Domain Name Administrator; name_servers: JFBEXTDNS1.GENMILLS.COM; org: General Mills; address: One General Mills Blvd; city: Golden Valley; country: US; creation_date: 1991-09-25T00:00:00; creation_date : 1991-09-25T04:00:00; dnssec: unsigned; domain_name: PILLSBURY.COM; domain_name : pillsbury.com; emails : dom.admin@genmills.com; emails : domaintechnicalcontact@genmills.com; expiration_date: 2017-09-24T00:00:00; expiration_date : 2017-09-24T04:00:00; name_servers : MGOEXTDNS1.GENMILLS.COM; name_servers : MGOEXTDNS2.GENMILLS.COM; name_servers : mgoextdns1.genmills.com; name_servers : jfbextdns1.genmills.com; name_servers : mgoextdns2.genmills.com; referral_url: http://www.cscglobal.com/global/web/csc/digital-brand-services.html; registrar: CSC CORPORATE DOMAINS, INC.; state: MN; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited; status : serverTransferProhibited https://icann.org/epp#serverTransferProhibited; status : serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited; status : clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited; status : serverDeleteProhibited http://www.icann.org/epp#serverDeleteProhibited; status : serverTransferProhibited http://www.icann.org/epp#serverTransferProhibited; status : serverUpdateProhibited http://www.icann.org/epp#serverUpdateProhibited; updated_date: 2015-09-20T00:00:00; updated_date : 2016-12-03T23:24:27; whois_server: whois.corporatedomains.com; zipcode: 55426",safe
amazon.de,name: Amazon Europe Core S.a.r.l.; org: Amazon Europe Core S.a.r.l.; address: 5 rue Plaetis; city: Luxembourg; country_code: LU; phone: +352.26733300; zipcode: L-2338,safe
ting.com,name_servers: NS1.TUCOWS.COM; creation_date: 1997-05-29T04:00:00; dnssec: unsigned; domain_name: TING.COM; expiration_date: 2018-05-28T04:00:00; name_servers : NS2.TUCOWS.COM; name_servers : NS3.TUCOWS.COM; registrar: Tucows Domains Inc.; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited; status : serverTransferProhibited https://icann.org/epp#serverTransferProhibited; status : serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited; updated_date: 2017-04-29T03:50:28; whois_server: whois.tucows.com,safe
cnbc.com,"emails: abusecomplaints@markmonitor.com; name: Domain Administrator; name_servers: NS1.P24.DYNECT.NET; org: NBCUniversal Media, LLC; address: 904 Sylvan Avenue,; city: Englewood Cliffs; country: US; creation_date: 1997-09-30T00:00:00; creation_date : 1997-09-29T21:00:00; dnssec: unsigned; domain_name: CNBC.COM; domain_name : cnbc.com; emails : domain.admin@nbcuni.com; expiration_date: 2017-09-29T00:00:00; expiration_date : 2017-09-28T21:00:00; name_servers : NS2.P24.DYNECT.NET; name_servers : NS3.P24.DYNECT.NET; name_servers : NS4.P24.DYNECT.NET; name_servers : ns4.p24.dynect.net; name_servers : ns1.p24.dynect.net; name_servers : ns3.p24.dynect.net; name_servers : ns2.p24.dynect.net; referral_url: http://www.markmonitor.com; registrar: MarkMonitor, Inc.; state: nj; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited; status : serverTransferProhibited https://icann.org/epp#serverTransferProhibited; status : serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited; status : clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited); status : clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited); status : clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited); status : serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited); status : serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited); status : serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited); updated_date: 2016-11-10T00:00:00; updated_date : 2016-11-10T07:57:44; whois_server: whois.markmonitor.com; zipcode: 07632",safe
wordstream.com,"emails: abuse@godaddy.com; name_servers: NS-1299.AWSDNS-34.ORG; org: WordStream, Inc.; country: US; creation_date: 2003-06-01T18:11:58; dnssec: unsigned; domain_name: WORDSTREAM.COM; expiration_date: 2022-06-01T18:11:58; name_servers : NS-1647.AWSDNS-13.CO.UK; name_servers : NS-400.AWSDNS-50.COM; name_servers : NS-668.AWSDNS-19.NET; registrar: GoDaddy.com, LLC; state: Massachusetts; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientRenewProhibited https://icann.org/epp#clientRenewProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited; status : clientRenewProhibited http://www.icann.org/epp#clientRenewProhibited; status : clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited; updated_date: 2017-03-22T13:55:57; updated_date : 2017-03-22T13:55:56; whois_server: whois.godaddy.com",safe
mcdonalds.com,"emails: domainabuse@cscglobal.com; name: DNS Manager; name_servers: NS-1445.AWSDNS-52.ORG; org: McDonald's Corporation; address: 2111 McDonald's Drive; city: Oak Brook; country: US; creation_date: 1994-07-12T04:00:00; dnssec: unsigned; domain_name: MCDONALDS.COM; domain_name : mcdonalds.com; emails : dns.manager@us.mcd.com; expiration_date: 2018-07-11T04:00:00; name_servers : NS-1685.AWSDNS-18.CO.UK; name_servers : NS-76.AWSDNS-09.COM; name_servers : NS-840.AWSDNS-41.NET; name_servers : ns-1445.awsdns-52.org; name_servers : ns-1685.awsdns-18.co.uk; name_servers : ns-840.awsdns-41.net; name_servers : ns-76.awsdns-09.com; registrar: CSC CORPORATE DOMAINS, INC.; state: IL; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited; updated_date: 2017-07-07T05:17:51; updated_date : 2018-01-30T14:03:00; whois_server: whois.corporatedomains.com; zipcode: 60523",safe
btku.org,"emails: abuse@godaddy.com; name: Registration Private; name_servers: DAWN.NS.CLOUDFLARE.COM; org: Domains By Proxy, LLC; address: DomainsByProxy.com; address : 14455 N. Hayden Road; city: Scottsdale; country: US; creation_date: 2014-10-30T06:30:08; dnssec: unsigned; domain_name: BTKU.ORG; domain_name : btku.org; emails : btku.org@domainsbyproxy.com; expiration_date: 2018-10-30T06:30:08; name_servers : ANIRBAN.NS.CLOUDFLARE.COM; registrar: GoDaddy.com, LLC; state: Arizona; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientRenewProhibited https://icann.org/epp#clientRenewProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited; status : clientRenewProhibited http://www.icann.org/epp#clientRenewProhibited; status : clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited; updated_date: 2017-06-22T00:20:30; updated_date : 2017-04-22T02:40:50; whois_server: whois.godaddy.com; zipcode: 85260",safe
hd21.com,"emails: abuse@evonames.com; name: WhoisProtectService.net; name_servers: NS1.HD21.COM; org: PROTECTSERVICE, LTD.; address: Agios Fylaxeos 66 and Chr. Perevou 2, Kalia Court, off. 601; city: Limassol; country: Cyprus; creation_date: 2009-08-11T00:00:00; dnssec: unsigned; domain_name: HD21.COM; emails : hd21.com@whoisprotectservice.net; emails : abuse@ahnames.com; expiration_date: 2017-08-11T00:00:00; name_servers : NS2.HD21.COM; referral_url: http://www.danesconames.com; registrar: EVOPLUS LTD; status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; status : clientTransferProhibited https://icann.org/epp#clientTransferProhibited; status : clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; status : clientUpdateProhibited; status : clientDeleteProhibited; status : clientTransferProhibited; updated_date: 2016-06-30T00:00:00; updated_date : 2017-03-14T23:16:58.253000; whois_server: whois.evonames.com; zipcode: 3025",safe
made-in-china.com,"name_servers: NS4.MADE-IN-CHINA.COM; creation_date: 1998-02-28T00:00:00; domain_name: MADE-IN-CHINA.COM; expiration_date: 2018-02-28T00:00:00; name_servers : NS5.MADE-IN-CHINA.COM; name_servers : NS6.MADE-IN-CHINA.COM; name_servers : NS9.MADE-IN-CHINA.COM; referral_url: http://www.enom.com; registrar: ENOM, INC.; status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited; updated_date: 2017-03-03T00:00:00; whois_server: whois.enom.com",safe
